d,C,freq_lossy,decay_lossy,Q_lossy,freq_lossless,decay_lossless,Q_lossless
0.52,0.001962,1.370353698,-0.001709904,400.7107,1.373183079,-0.00011,
0.52,0.001952,1.372489054,-0.001576541,435.2849193,1.36925979,-0.00015,
0.54,0.00177034899999995,1.370798041,-0.001657622,413.4833106,1.37304828,-0.000112797,6086.352398
0.54,0.00177034899999995,1.372080144,-0.0016223,422.8811798,1.369507582,-0.000153077,4473.275217
0.56,0.00159896999999998,1.371349082,-0.001343699,510.2886631,1.369686039,-0.000150656,4545.75253
0.56,0.00159896999999998,1.371640231,-0.001939968,353.5213904,1.372883979,-0.00011465,5987.274901
0.58,0.00144917200000005,1.371282574,-0.002512269,272.9170985,1.36973193,-0.00014872,4605.061495
0.58,0.00144917200000005,1.371324879,-0.000917692,747.1595898,1.372630274,-0.000116285,5902.001974
0.6,0.00132406499999993,1.370925536,-0.000699584,979.8153751,1.369514923,-0.00014715,4653.477656
0.6,0.00132406499999993,1.371182612,-0.00282328,242.8350024,1.372163053,-0.000118211,5803.848442
