Nwvg,freq,decay,Q,wavelength,lossDiff,
1,1.371322521,-0.000263645,2600.697304,0.729223057,-0.012438944,
1,1.372359507,-0.012347495,55.57238611,0.728672039,-0.012438944,
1,1.371320732,-0.000265372,2583.76761,0.729224008,-0.012438944,
1,1.372166986,-0.01229851,55.78590356,0.728774275,-0.012438944,
2,1.371425676,-0.000333484,2056.210101,0.729168206,-0.006181361,
2,1.371754825,-0.006496893,105.5700642,0.728993244,-0.006181361,
2,1.371340558,-0.000484187,1416.125934,0.729213465,-0.006181361,
2,1.371927886,-0.005826117,117.7394746,0.728901286,-0.006181361,
3,1.371313786,-0.001415123,484.5211428,0.729227702,-0.003166223,
3,1.371624549,-0.001871658,366.4196644,0.729062483,-0.003166223,
3,1.371328803,-0.0014293,479.7202943,0.729219716,-0.003166223,
3,1.37155787,-0.001833235,374.081338,0.729097927,-0.003166223,
4,1.369972079,-0.000982125,697.4528661,0.729941884,-0.001632694,
4,1.37271394,-0.000777505,882.7683611,0.728483896,-0.001632694,
4,1.369974262,-0.000986849,694.1155103,0.72994072,-0.001632694,
4,1.372712327,-0.000779267,880.7716127,0.728484752,-0.001632694,
5,1.369706202,-0.000579822,1181.143512,0.730083575,-0.000828742,
5,1.372841147,-0.000421197,1629.688222,0.728416396,-0.000828742,
5,1.369736418,-0.00055675,1230.118151,0.730067469,-0.000828742,
5,1.372853465,-0.000414412,1656.387851,0.72840986,-0.000828742,
6,1.369663165,-0.000327168,2093.210644,0.730106515,-0.000407275,
6,1.371773657,-0.000279251,2456.169663,0.728983236,-0.000407275,
6,1.369658308,-0.000334204,2049.133567,0.730109104,-0.000407275,
6,1.372873053,-0.000231103,2970.255962,0.728399467,-0.000407275,
