,eigVal_lossDiff_applied,eigVec_lossDiff_applied,eigVal_lossless,eigVec_lossless,coupling_coeff.,loss_diff,Ecm,XC,Ecm-XC
0,[1.37258743+0.01295383j 1.37117825+0.00029177j],"[[ 0.99225229+0.j         -0.01332271+0.12352286j]
 [ 0.01332271-0.12352286j  0.99225229+0.j        ]]",[1.37364038+2.75471388e-05j 1.3701253 +6.25528612e-05j],"[[ 0.83322289+0.j         -0.5527557 -0.01416846j]
 [ 0.5527557 +0.01416846j  0.83322289+0.j        ]]",0.00162,-0.0131554962,1.372565682038313,(1.3712+9.01e-05j),(0.0013656820383129986-9.01e-05j)
1,[1.37258767+0.01290943j 1.3711781 +0.00029245j],"[[ 0.99219981+0.j         -0.01341559+0.12393369j]
 [ 0.01341559-0.12393369j  0.99219981+0.j        ]]",[1.37364044+2.75462425e-05j 1.37012533+6.25537575e-05j],"[[ 0.83322886+0.j        -0.55274671-0.0141681j]
 [ 0.55274671+0.0141681j  0.83322886+0.j       ]]",0.00162,-0.013111784155852842,1.372565764411524,(1.3712+9.01e-05j),(0.0013657644115239176-9.01e-05j)
2,[1.37258786+0.01286503j 1.37117794+0.00029314j],"[[ 0.99214679+0.j         -0.01350897+0.12434735j]
 [ 0.01350897-0.12434735j  0.99214679+0.j        ]]",[1.37364046+2.7545879e-05j 1.37012534+6.2554121e-05j],"[[ 0.83323128+0.j         -0.55274307-0.01416796j]
 [ 0.55274307+0.01416796j  0.83323128+0.j        ]]",0.00162,-0.013068072111705686,1.3725657978260548,(1.3712+9.01e-05j),(0.0013657978260548376-9.01e-05j)
3,[1.37258799+0.01282063j 1.37117779+0.00029383j],"[[ 0.99209321+0.j         -0.01360286+0.12476386j]
 [ 0.01360286-0.12476386j  0.99209321+0.j        ]]",[1.37364045+2.75460463e-05j 1.37012533+6.25539537e-05j],"[[ 0.83323017+0.j         -0.55274474-0.01416802j]
 [ 0.55274474+0.01416802j  0.83323017+0.j        ]]",0.00162,-0.013024360067558529,1.3725657824451174,(1.3712+9.01e-05j),(0.001365782445117425-9.01e-05j)
4,[1.37258809+0.01277622j 1.37117763+0.00029452j],"[[ 0.99203908+0.j         -0.01369726+0.12518326j]
 [ 0.01369726-0.12518326j  0.99203908+0.j        ]]",[1.37364041+2.75467428e-05j 1.37012531+6.25532572e-05j],"[[ 0.83322553+0.j        -0.55275173-0.0141683j]
 [ 0.55275173+0.0141683j  0.83322553+0.j       ]]",0.00162,-0.012980648023411371,1.372565718431933,(1.3712+9.01e-05j),(0.0013657184319331162-9.01e-05j)
5,[1.37258813+0.01273181j 1.37117748+0.00029523j],"[[ 0.99198438+0.j         -0.01379219+0.12560558j]
 [ 0.01379219-0.12560558j  0.99198438+0.j        ]]",[1.37364033+2.75479667e-05j 1.37012528+6.25520333e-05j],"[[ 0.83321738+0.j         -0.552764  -0.01416879j]
 [ 0.552764  +0.01416879j  0.83321738+0.j        ]]",0.00162,-0.012936935979264215,1.3725656059497338,(1.3712+9.01e-05j),(0.0013656059497337836-9.01e-05j)
6,[1.37258813+0.01268739j 1.37117732+0.00029593j],"[[ 0.99192911+0.j         -0.01388764+0.12603084j]
 [ 0.01388764-0.12603084j  0.99192911+0.j        ]]",[1.37364022+2.75497162e-05j 1.37012523+6.25502838e-05j],"[[ 0.83320573+0.j         -0.55278155-0.01416949j]
 [ 0.55278155+0.01416949j  0.83320573+0.j        ]]",0.00162,-0.012893223935117057,1.3725654451617617,(1.3712+9.01e-05j),(0.0013654451617617358-9.01e-05j)
7,[1.37258808+0.01264297j 1.37117716+0.00029664j],"[[ 0.99187326+0.j         -0.01398363+0.12645908j]
 [ 0.01398363-0.12645908j  0.99187326+0.j        ]]",[1.37364007+2.75519898e-05j 1.37012516+6.25480102e-05j],"[[ 0.83319058+0.j         -0.55280435-0.01417041j]
 [ 0.55280435+0.01417041j  0.83319058+0.j        ]]",0.00162,-0.0128495118909699,1.372565236231269,(1.3712+9.01e-05j),(0.0013652362312690514-9.01e-05j)
8,[1.37258798+0.01259854j 1.371177  +0.00029736j],"[[ 0.99181681+0.j         -0.01408016+0.12689033j]
 [ 0.01408016-0.12689033j  0.99181681+0.j        ]]",[1.37363989+2.75547856e-05j 1.37012509+6.25452144e-05j],"[[ 0.83317196+0.j         -0.55283239-0.01417153j]
 [ 0.55283239+0.01417153j  0.83317196+0.j        ]]",0.00162,-0.012805799846822742,1.372564979321518,(1.3712+9.01e-05j),(0.0013649793215180228-9.01e-05j)
9,[1.37258783+0.01255411j 1.37117684+0.00029808j],"[[ 0.99175977+0.j         -0.01417724+0.12732463j]
 [ 0.01417724-0.12732463j  0.99175977+0.j        ]]",[1.37363968+2.75581021e-05j 1.37012499+6.25418979e-05j],"[[ 0.83314987+0.j         -0.55286564-0.01417286j]
 [ 0.55286564+0.01417286j  0.83314987+0.j        ]]",0.00162,-0.012762087802675586,1.3725646745957805,(1.3712+9.01e-05j),(0.0013646745957804907-9.01e-05j)
