Nwvg,freq,decay,Q,wavelength
1,1.372561337,-0.012529044,54.77518109,0.72856489
2,1.372087997,-0.006271461,109.3914077,0.72881623
3,1.371642928,-0.003256323,210.6122528,0.72905271
4,1.371382744,-0.001722794,398.0112619,0.72919103
5,1.371261676,-0.000918842,746.1897449,0.72925541
6,1.371221227,-0.000497375,1378.458544,0.72927692
8,1.371224005,-0.000174258,3934.470451,0.72927545
10,1.371238221,-0.000102802,6669.2876,0.72926789
12,1.371241751,-9.12E-05,7521.69483,0.72926601
15,1.371241192,-9.01E-05,7611.585674,0.72926631
