d,C,freq_lossy,decay_lossy,Q_lossy,freq_lossless,decay_lossless,Q_lossless
0.25,0.0087,1.365912012,-0.007452257,91.644186,,,
0.25,,1.374441149,-0.005071424,135.5084075,,,
0.25,,1.365928519,-0.00748065,91.29745342,,,
0.25,,1.376292949,-0.003718163,185.0770271,,,
0.27,,1.36804238,-0.0073739,92.76246777,,,
0.27,,1.373258882,-0.004551783,150.848448,,,
0.27,,1.368055095,-0.007377733,92.71513381,,,
0.27,,1.374775628,-0.005408879,127.0850742,,,
0.29,,1.370144253,-0.007717544,88.76815808,,,
0.29,,1.372015608,-0.003693474,185.7350883,,,
0.29,,1.370167375,-0.007717366,88.77169995,,,
0.29,,1.373009729,-0.004994841,137.4427827,,,
0.31,,1.371318561,-0.009106482,75.29353922,,,
0.31,,1.371978561,-0.003522827,194.7269541,,,
0.31,,1.371390846,-0.009133931,75.07122823,,,
0.31,,1.371974716,-0.003523846,194.6700519,,,
0.33,,1.371605806,-0.010020888,68.43733577,,,
0.33,,1.371635795,-0.002583089,265.5029981,,,
0.33,,1.37159865,-0.010064527,68.14024407,,,
0.33,,1.371635574,-0.002582925,265.5197776,,,
0.35,,1.371181409,-0.002010699,340.9712827,,,
0.35,,1.371441301,-0.010574454,64.84690747,,,
0.35,,1.371180751,-0.002011012,340.918065,,,
0.35,0.0048,1.371484101,-0.010590597,64.75008704,,,
