d,C,freq_lossy,decay_lossy,Q_lossy,freq_lossless,decay_lossless,Q_lossless
0.52,0.001962,1.370353698,-0.001709904,400.7107,1.373183079,-0.00011,
0.52,0.001952,1.372489054,-0.001576541,435.2849193,1.36925979,-0.00015,
0.54,0.001770349,1.370798041,-0.001657622,413.4833106,1.37304828,-0.000112797,6086.352398
0.54,0.001770349,1.372080144,-0.0016223,422.8811798,1.369507582,-0.000153077,4473.275217
0.56,0.00159897,1.371349082,-0.001343699,510.2886631,1.369686039,-0.000150656,4545.75253
0.56,0.00159897,1.371640231,-0.001939968,353.5213904,1.372883979,-0.00011465,5987.274901
0.58,0.001449172,1.371282574,-0.002512269,272.9170985,1.36973193,-0.00014872,4605.061495
0.58,0.001449172,1.371324879,-0.000917692,747.1595898,1.372630274,-0.000116285,5902.001974
0.6,0.001324065,1.370925536,-0.000699584,979.8153751,1.369514923,-0.00014715,4653.477656
0.6,0.001324065,1.371182612,-0.00282328,242.8350024,1.372163053,-0.000118211,5803.848442
0.4,0.003684658,1.36779021,-0.001912228,357.6430546,1.374444948,-7.37E-05,
0.4,0.003684658,1.374189853,-0.0014092,487.5779242,1.367075632,-1.23E-04,
0.43,0.003112139,1.368787103,-0.001855961,368.7542402,1.374250653,-7.24E-05,
0.43,0.003112139,1.373928064,-0.001444842,475.4597777,1.368026375,-0.000118059,
0.46,0.002657536,1.369438582,-0.001805897,379.1574774,1.373923068,-7.29E-05,
0.46,0.002657536,1.373517633,-0.001481429,463.5785361,1.368607996,-0.000116266,
0.49,0.002281233,1.36992506,-0.001761739,388.7991369,1.373555071,-7.41E-05,
0.49,0.002281233,1.373009586,-0.001536803,446.7096115,1.368992605,-1.13E-04,
0.63,0.001133226,1.371655725,-0.003011168,227.7613869,1.372324669,-7.93E-05,
0.63,0.001133226,1.371246545,-0.000500831,1368.972234,1.370058217,-9.76E-05,
0.3,0.006407284,1.364738613,-0.002148167,317.6519068,1.364070053,,
0.3,0.006407284,1.376757247,-0.001282363,536.8049852,1.37688462,,
0.35,0.004414969,1.366497729,-0.002016148,338.8882962,1.366497729,,
0.35,0.004414969,1.375327667,-1.35E-03,510.1098671,1.375327667,,
