freq,freqError,decay,decayError,freq,decay,Q,abs amp,error,d,d+w
1.369053778,1.74316E-05,-0.001811719,8.93712E-06,1.369066104,-0.001818038,376.5229568,8.988323911,1.05E-08,0.46,0.922
,,,,1.369041452,-0.001805399,379.1520381,9.006778631,3.75E-08,0.46,0.922
1.373158159,1.04398E-05,-0.001506034,1.25469E-05,1.373150777,-0.001514906,453.2130778,9.883149759,2.48E-08,0.46,0.922
,,,,1.373165541,-0.001497162,458.5893794,9.916312673,7.00E-09,0.46,0.922
1.369390697,3.22448E-05,-0.001790077,3.45351E-06,1.369413497,-0.001792519,381.9801548,9.212269976,3.14E-08,0.474285714,0.936285714
,,,,1.369367896,-0.001787635,383.0109859,9.249755986,4.68E-08,0.474285714,0.936285714
1.373020957,1.49292E-05,-0.001530966,9.71282E-06,1.3730104,-0.001537834,446.4104643,10.29746528,3.17E-08,0.474285714,0.936285714
,,,,1.373031513,-0.001524098,450.440658,10.36345104,5.82E-09,0.474285714,0.936285714
1.36974065,1.66411E-05,-0.001776044,3.10986E-06,1.369728883,-0.001778243,385.135545,9.862657156,4.87E-08,0.488571429,0.950571429
,,,,1.369752417,-0.001773845,386.0970625,9.720582077,7.94E-08,0.488571429,0.950571429
1.372879689,3.975E-06,-0.001549884,1.04249E-05,1.372882499,-0.001557255,440.8021786,11.05975951,5.28E-08,0.488571429,0.950571429
,,,,1.372876878,-0.001542512,445.0132249,10.62224564,3.48E-08,0.488571429,0.950571429
1.369940362,1.96195E-05,-0.001732064,2.09869E-05,1.369926489,-0.001746904,392.1011472,10.50416815,6.19E-08,0.502857143,0.964857143
,,,,1.369954235,-0.001717224,398.8863902,10.10897253,9.73E-08,0.502857143,0.964857143
1.372595186,8.21883E-06,-0.001584351,1.5364E-05,1.372589374,-0.001595215,430.220798,12.08790841,4.58E-08,0.502857143,0.964857143
,,,,1.372600997,-0.001573487,436.1652438,11.40753481,4.68E-08,0.502857143,0.964857143
1.370028663,1.75574E-07,-0.001706108,3.73275E-05,1.370028557,-0.001732502,395.3900705,11.67237483,9.14E-08,0.517142857,0.979142857
,,,,1.370028769,-0.001679713,407.8163417,10.87934931,6.75E-08,0.517142857,0.979142857
1.372234286,1.22204E-05,-0.001587318,1.21764E-06,1.372225645,-0.001588179,432.012283,12.63046587,7.19E-08,0.517142857,0.979142857
,,,,1.372242927,-0.001586457,432.4867069,12.59946579,2.06E-08,0.517142857,0.979142857
1.370372849,2.25194E-05,-0.001671797,3.88591E-05,1.370388772,-0.001699274,403.2278227,13.78882954,7.79E-08,0.531428571,0.993428571
,,,,1.370356925,-0.001644319,416.6943624,12.37673865,3.46E-08,0.531428571,0.993428571
1.372107354,3.70057E-05,-0.001611758,4.05384E-06,1.372133521,-0.001614624,424.9080949,14.59979628,2.93E-08,0.531428571,0.993428571
