wvlength,freq,decay,Q,amp,error,d
0.728683768,1.372337417,-0.001510052,454.4006617,8.219474886, 8.002813212645377e-10+0.0i,0.46
0.728685281,1.372334567,-0.001509139,454.6745811,8.449956683, 1.400658454019056e-08+0.0i,0.46
0.730910693,1.368156206,-0.001832237,373.356718,7.420586559, 1.572737276223868e-08+0.0i,0.46
0.730911108,1.368155428,-0.001828846,374.0487345,7.578681771, 1.9440359340458766e-09+0.0i,0.46
0.830532859,1.20404628,-0.005312887,113.3137517,0.002924105, 0.0004022744049969048+0.0i,0.46
0.728567586,1.372556259,-0.001528283,449.0515908,8.814161053, 1.8588770684403536e-08+0.0i,0.474285714
0.728574771,1.372542723,-0.001542187,444.9988201,8.763433942, 3.891645754640154e-08+0.0i,0.474285714
0.73050671,1.368912819,-0.001811295,377.8823317,7.594988717, 2.825403057485277e-08+0.0i,0.474285714
0.730520072,1.36888778,-0.001808928,378.3697906,7.653807793, 5.996493744666269e-08+0.0i,0.474285714
0.80625442,1.240303278,0.007763241,-79.8830875,0.015290998, 0.0008981821980802671+0.0i,0.474285714
0.646745955,1.546202172,-0.011138104,69.41047385,0.032406426, 0.00019665842808871045+0.0i,0.488571429
0.728746705,1.372218897,-0.001550355,442.5498377,9.450558044, 2.6459223394722393e-08+0.0i,0.488571429
0.7287569,1.3721997,-0.00156341,438.8484026,9.415653192, 5.417247741113451e-08+0.0i,0.488571429
0.730392603,1.369126681,-0.001789358,382.5748384,8.367279163, 7.885501798804277e-08+0.0i,0.488571429
0.730394477,1.369123168,-0.001786593,383.1659649,8.181661593, 3.864369838562687e-08+0.0i,0.488571429
0.728737312,1.372236585,-0.001584393,433.0479767,9.682215003, 4.1677063565047414e-08+0.0i,0.502857143
0.728738226,1.372234864,-0.001586241,432.5429624,10.03816927, 2.5592802079421775e-09+0.0i,0.502857143
0.730186631,1.369512886,-0.001752779,390.6691001,8.552195126, 1.9322956379427915e-08+0.0i,0.502857143
0.730188702,1.369509001,-0.001756184,389.9104039,8.811666288, 5.511201592519915e-08+0.0i,0.502857143
0.825024815,1.212084754,-0.007080676,85.59103512,0.005380931, 0.0003773111081739618+0.0i,0.502857143
0.638161348,1.567001829,-0.003809701,205.6594141,0.000205327, 0.00024060844709555428+0.0i,0.517142857
0.729251472,1.371269087,-0.001619955,423.2428519,11.40158075, 8.666979554172956e-08+0.0i,0.517142857
0.729252829,1.371266535,-0.001618489,423.6255277,11.84226991, 5.534414611665971e-09+0.0i,0.517142857
0.730335505,1.36923372,-0.001716533,398.8369607,10.39268958, 1.032139435083832e-07+0.0i,0.517142857
0.73033818,1.369228704,-0.001709096,400.5710253,9.999115876, 1.5401563501840893e-08+0.0i,0.517142857
0.809254089,1.235705836,-0.007725459,79.97621005,0.02411963, 0.0004076036506671879+0.0i,0.517142857
0.729130777,1.371496076,-0.001638047,418.6374783,12.91636928, 1.0002438865932955e-08+0.0i,0.531428571
0.729159252,1.371442517,-0.001645421,416.7452566,13.20176743, 1.3282131440211822e-07+0.0i,0.531428571
0.730072984,1.36972607,-0.001684127,406.6575531,10.99511762, 3.1895888553991854e-08+0.0i,0.531428571
0.730082926,1.369707418,-0.001755611,390.0941485,11.98184245, 1.6695638305288007e-07+0.0i,0.531428571
0.729479579,1.370840292,-0.001720426,398.4012968,22.14833219, 6.679970546892573e-08+0.0i,0.545714286
0.729522473,1.370759692,-0.001727044,396.8514278,25.25352885, 4.385785771621654e-07+0.0i,0.545714286
0.729915981,1.370020695,-0.001610677,425.2933815,24.51584157, 3.9662484517163663e-07+0.0i,0.545714286
0.729959479,1.369939056,-0.001577575,434.1913696,18.39295614, 6.798710869243934e-08+0.0i,0.545714286
0.687276508,1.455018451,-0.014474984,50.25976053,1.336835413, 7.73317572756311e-06+0.0i,0.56
0.72966209,1.370497404,-0.001869833,366.4757919,31.06419446, 9.666774425362577e-08+0.0i,0.56
0.729763011,1.370307874,-0.002150739,318.56669,21.52626169, 5.152450305900334e-07+0.0i,0.56
0.729843005,1.370157681,-0.001310539,522.7460559,22.70880526, 1.994100259624327e-07+0.0i,0.56
0.729921494,1.370010347,-0.001429103,479.3251395,23.12828367, 7.973759475512544e-08+0.0i,0.56
0.687077334,1.455440241,-0.014286811,50.93649672,0.561209891, 6.127897962796185e-06+0.0i,0.574285714
0.687208396,1.455162664,-0.014535279,50.05623376,1.364649776, 7.781458053709338e-06+0.0i,0.574285714
0.729475707,1.370847569,-0.002328075,294.4164821,18.09489532, 6.999380788366205e-08+0.0i,0.574285714
0.729497794,1.370806064,-0.002519925,271.9934385,10.74149641, 4.372706220969734e-07+0.0i,0.574285714
0.729578421,1.370654574,-0.000979384,699.7532408,11.67041431, 7.813679139290727e-08+0.0i,0.574285714
0.729589082,1.370634546,-0.001015265,675.0130231,8.217288236, 3.9014912647573596e-08+0.0i,0.574285714
0.687100817,1.455390499,-0.014331444,50.7761274,0.551995092, 3.614686530753484e-06+0.0i,0.588571429
0.68731661,1.454933557,-0.014115785,51.535693,1.262979237, 3.424031175059006e-07+0.0i,0.588571429
0.729504326,1.370793791,-0.002549681,268.8167112,7.868890818, 1.423624772450025e-07+0.0i,0.588571429
0.729512165,1.37077906,-0.002547191,269.0766138,14.70866372, 6.289214341417238e-08+0.0i,0.588571429
0.729628171,1.370561116,-0.000801134,855.3886175,4.858746671, 2.8911544086253823e-08+0.0i,0.588571429
0.729630992,1.370555817,-0.000798376,858.3402483,8.920304394, 2.1433079750181982e-08+0.0i,0.588571429
0.802265113,1.246470753,-0.007602197,81.98095577,0.005613642, 0.00032412031897304823+0.0i,0.588571429
0.687295171,1.454978941,-0.013827344,52.61237937,0.539414491, 3.161135410129233e-06+0.0i,0.602857143
0.687358935,1.454843968,-0.013970668,52.06780089,1.233170824, 3.932944554524038e-06+0.0i,0.602857143
0.729379645,1.371028115,-0.002646822,258.9951348,6.52785383, 3.929279147024152e-07+0.0i,0.602857143
0.729391934,1.371005016,-0.002655226,258.1711021,13.36754975, 6.13967910603105e-08+0.0i,0.602857143
0.729535326,1.370735541,-0.000683873,1002.186103,7.171376676, 3.8625690466783894e-08+0.0i,0.602857143
0.729537021,1.370732357,-0.000703237,974.58792,3.681715087, 2.714191313307007e-08+0.0i,0.602857143
0.687371761,1.454816821,-0.01403877,51.81425601,1.222601734, 9.60431243317597e-06+0.0i,0.617142857
0.68743362,1.454685908,-0.013514556,53.81922607,0.49152458, 2.8983486182070693e-06+0.0i,0.617142857
0.729721687,1.370385474,-0.002791978,245.4148218,12.1157166, 5.216067901895665e-08+0.0i,0.617142857
0.729771608,1.370291731,-0.000101417,6755.731445,3.167292482, 2.6359413653594604e-08+0.0i,0.617142857
0.729874303,1.370098928,-0.000558098,1227.472531,2.398837246, 2.3502161301303773e-08+0.0i,0.617142857
0.729876324,1.370095135,-0.00055709,1229.688205,5.687559293, 3.9602785476675734e-08+0.0i,0.617142857
