seps,w,d+w,uncorrected,freq,wvlength,decay,Q
0.344,0.462,0.806,1.37604,1.37604,0.72672306,-0.0001,6728.72219
0.344,0.462,0.806,1.36608,1.36608,0.732021551,-0.0002,3460.52466
0.43,0.462,0.892,1.374250653,1.374250653,0.727669292,-7.24E-05,5793.801147
0.43,0.462,0.892,1.368026375,1.368026375,0.730980059,-0.000118059,5793.801147
0.46,0.462,0.922,1.373923068,1.374153068,0.727720967,-7.29E-05,9421.922458
0.46,0.462,0.922,1.368220857,1.368450857,0.730753315,-9.92E-05,6895.031331
0.49,0.462,0.952,1.373555071,1.373555071,0.728037791,-7.41E-05,9273.945298
0.49,0.462,0.952,1.368992605,1.368792605,0.730570867,-1.13E-04,6046.074803
0.5,0.462,0.962,1.373100223,1.373330223,0.728156989,-6.27E-05,10948.88147
0.5,0.462,0.962,1.368741747,1.368971747,0.730475265,-9.77E-05,7005.678599
0.52,0.462,0.982,1.373183079,1.373183079,0.728235015,-6.15E-05,11156.34187
0.52,0.462,0.982,1.36925979,1.36925979,0.7303216,-9.45E-05,7248.061825
0.535,0.462,0.997,1.373092724,1.373092724,0.728282936,-0.000112095,6124.679559
0.535,0.462,0.997,1.369478193,1.369478193,0.730205129,-0.000143752,4763.348833
0.54,0.462,1.002,1.37304828,1.37304828,0.728306509,-0.000112797,6086.352398
0.54,0.462,1.002,1.369149545,1.369379545,0.730257731,-8.86E-05,7723.317295
0.56,0.462,1.022,1.372883979,1.372883979,0.72839367,-0.00011465,5987.274901
0.56,0.462,1.022,1.369686039,1.369686039,0.730094322,-0.000150656,4545.75253
0.58,0.462,1.042,1.37239344,1.37262344,0.728531927,-6.34E-05,10819.59161
0.58,0.462,1.042,1.369467705,1.369697705,0.730088104,-0.000111807,6124.230889
0.62,0.462,1.082,1.372140949,1.372370949,0.728665964,-6.43E-05,10670.64494
0.62,0.462,1.082,1.369727889,1.369957889,0.729949444,-9.92E-05,6902.728705
0.63,0.462,1.092,1.372325909,1.372325909,0.728689879,-0.000124303,5520.065115
0.63,0.462,1.092,1.370044889,1.370044889,0.729903092,-0.000148425,4615.265016
0.66,0.462,1.122,1.371936164,1.372166164,0.728774711,-6.69E-05,10255.56019
0.66,0.462,1.122,1.36994151,1.37017151,0.729835639,-0.00010808,6337.605658
