,eigVal_lossDiff_applied,eigVec_lossDiff_applied,eigVal_lossless,eigVec_lossless,Coupling coeff.,Ecm,XC,Ecm-XC
0,[1.371-0.00267088j 1.371-0.00076512j],"[[ 8.90311271e-01+0.j          1.30923050e-13-0.45535244j]
 [-8.18613748e-14+0.45535244j  8.90311271e-01+0.j        ]]",[1.37232-9.e-05j 1.36968-9.e-05j],"[[ 0.70710678-0.0000000e+00j  0.70710678+0.0000000e+00j]
 [ 0.70710678+0.0000000e+00j -0.70710678-1.4519824e-17j]]",0.00132,(1.371-9e-05j),(1.371-9e-05j),0j
1,[1.371-0.0026688j 1.371-0.0007672j],"[[ 8.89952202e-01+0.j          1.41962830e-13-0.45605381j]
 [-1.46602026e-13+0.45605381j  8.89952202e-01+0.j        ]]",[1.3723215-9.e-05j 1.3696785-9.e-05j],"[[ 0.70710678-0.j  0.70710678+0.j]
 [ 0.70710678+0.j -0.70710678-0.j]]",0.0013215,(1.371-9e-05j),(1.371-9e-05j),0j
2,[1.371-0.00266671j 1.371-0.00076929j],"[[ 8.89591790e-01+0.j         -7.40588146e-14-0.45675644j]
 [ 0.00000000e+00+0.45675644j  8.89591790e-01+0.j        ]]",[1.372323-9.e-05j 1.369677-9.e-05j],"[[ 0.70710678-0.j -0.70710678+0.j]
 [ 0.70710678+0.j  0.70710678+0.j]]",0.001323,(1.371-9e-05j),(1.371-9e-05j),0j
3,[1.371-0.00266462j 1.371-0.00077138j],"[[ 8.89230025e-01+0.j         -5.91401927e-14-0.45746034j]
 [ 0.00000000e+00+0.45746034j  8.89230025e-01+0.j        ]]",[1.3723245-9.e-05j 1.3696755-9.e-05j],"[[ 0.70710678-0.0000000e+00j -0.70710678-7.2352464e-18j]
 [ 0.70710678+0.0000000e+00j  0.70710678+0.0000000e+00j]]",0.0013245,(1.371-9e-05j),(1.371-9e-05j),0j
4,[1.371-0.00266251j 1.371-0.00077349j],"[[ 8.88866899e-01+0.j         -1.90236715e-13-0.45816551j]
 [ 5.78856483e-14+0.45816551j  8.88866899e-01+0.j        ]]",[1.372326-9.e-05j 1.369674-9.e-05j],"[[ 0.70710678-0.j -0.70710678+0.j]
 [ 0.70710678+0.j  0.70710678+0.j]]",0.001326,(1.371-9e-05j),(1.371-9e-05j),0j
5,[1.371-0.00266041j 1.371-0.00077559j],"[[ 8.88502401e-01+0.j         -2.47052379e-13-0.45887197j]
 [ 5.84634223e-14+0.45887197j  8.88502401e-01+0.j        ]]",[1.3723275-9.e-05j 1.3696725-9.e-05j],"[[ 0.70710678-0.00000000e+00j -0.70710678-7.21889556e-18j]
 [ 0.70710678+0.00000000e+00j  0.70710678+0.00000000e+00j]]",0.0013275,(1.371-9e-05j),(1.371-9e-05j),0j
6,[1.371-0.00265829j 1.371-0.00077771j],"[[ 8.88136522e-01+0.j         -3.75741105e-14-0.45957972j]
 [ 0.00000000e+00+0.45957972j  8.88136522e-01+0.j        ]]",[1.372329-9.e-05j 1.369671-9.e-05j],"[[ 0.70710678-0.00000000e+00j -0.70710678+7.21074782e-18j]
 [ 0.70710678+0.00000000e+00j  0.70710678+0.00000000e+00j]]",0.0013289999999999999,(1.371-9e-05j),(1.371-9e-05j),0j
7,[1.371-0.00265617j 1.371-0.00077983j],"[[ 8.87769251e-01+0.j         -3.93582736e-14-0.46028877j]
 [ 0.00000000e+00+0.46028877j  8.87769251e-01+0.j        ]]",[1.3723305-9.e-05j 1.3696695-9.e-05j],"[[ 0.70710678-0.00000000e+00j  0.70710678+0.00000000e+00j]
 [ 0.70710678+0.00000000e+00j -0.70710678+3.00507811e-31j]]",0.0013305,(1.371-9e-05j),(1.371-9e-05j),0j
8,[1.371-0.00265403j 1.371-0.00078197j],"[[ 8.87400579e-01+0.j         -2.10935436e-13-0.46099915j]
 [ 1.24778783e-13+0.46099915j  8.87400579e-01+0.j        ]]",[1.372332-9.e-05j 1.369668-9.e-05j],"[[ 0.70710678+0.j  0.70710678+0.j]
 [ 0.70710678-0.j -0.70710678+0.j]]",0.001332,(1.371-9e-05j),(1.371-9e-05j),0j
9,[1.371-0.0026519j 1.371-0.0007841j],"[[ 8.87030494e-01+0.j         -5.31796829e-14-0.46171084j]
 [ 0.00000000e+00+0.46171084j  8.87030494e-01+0.j        ]]",[1.3723335-9.e-05j 1.3696665-9.e-05j],"[[ 0.70710678+0.j  0.70710678+0.j]
 [ 0.70710678-0.j -0.70710678+0.j]]",0.0013335,(1.371-9e-05j),(1.371-9e-05j),0j
