,eigVal_lossDiff_applied,eigVec_lossDiff_applied,eigVal_lossless,eigVec_lossless,coupling_coeff.,loss_diff,Ecm,XC,Ecm-XC
0,[1.37258687+0.01295885j 1.37117881+0.00028675j],"[[ 0.99244596+0.j        -0.01314548+0.1219763j]
 [ 0.01314548-0.1219763j  0.99244596+0.j       ]]",[1.37362197+2.73618001e-05j 1.37014372+6.27381999e-05j],"[[ 0.83445636+0.j         -0.55088923-0.01427014j]
 [ 0.55088923+0.01427014j  0.83445636+0.j        ]]",0.0016,-0.0131554962,1.372565682038313,(1.3712+9.01e-05j),(0.0013656820383129986-9.01e-05j)
1,[1.37258711+0.01291447j 1.37117866+0.00028741j],"[[ 0.99239481+0.j         -0.01323703+0.12238186j]
 [ 0.01323703-0.12238186j  0.99239481+0.j        ]]",[1.37362202+2.73608978e-05j 1.37014374+6.27391022e-05j],"[[ 0.83446236+0.j         -0.55088015-0.01426977j]
 [ 0.55088015+0.01426977j  0.83446236+0.j        ]]",0.0016,-0.013111784155852842,1.372565764411524,(1.3712+9.01e-05j),(0.0013657644115239176-9.01e-05j)
2,[1.37258729+0.01287009j 1.37117851+0.00028808j],"[[ 0.99234314+0.j        -0.01332908+0.1227902j]
 [ 0.01332908-0.1227902j  0.99234314+0.j       ]]",[1.37362205+2.73605318e-05j 1.37014375+6.27394682e-05j],"[[ 0.8344648 +0.j         -0.55087646-0.01426963j]
 [ 0.55087646+0.01426963j  0.8344648 +0.j        ]]",0.0016,-0.013068072111705686,1.3725657978260548,(1.3712+9.01e-05j),(0.0013657978260548376-9.01e-05j)
3,[1.37258742+0.01282571j 1.37117836+0.00028875j],"[[ 0.99229093+0.j         -0.01342162+0.12320136j]
 [ 0.01342162-0.12320136j  0.99229093+0.j        ]]",[1.37362204+2.73607003e-05j 1.37014375+6.27392997e-05j],"[[ 0.83446368+0.j         -0.55087816-0.01426969j]
 [ 0.55087816+0.01426969j  0.83446368+0.j        ]]",0.0016,-0.013024360067558529,1.3725657824451174,(1.3712+9.01e-05j),(0.001365782445117425-9.01e-05j)
4,[1.37258751+0.01278132j 1.37117821+0.00028943j],"[[ 0.99223817+0.j         -0.01351468+0.12361536j]
 [ 0.01351468-0.12361536j  0.99223817+0.j        ]]",[1.37362199+2.73614014e-05j 1.37014373+6.27385986e-05j],"[[ 0.83445902+0.j         -0.55088521-0.01426998j]
 [ 0.55088521+0.01426998j  0.83445902+0.j        ]]",0.0016,-0.012980648023411371,1.372565718431933,(1.3712+9.01e-05j),(0.0013657184319331162-9.01e-05j)
5,[1.37258755+0.01273692j 1.37117806+0.00029011j],"[[ 0.99218487+0.j         -0.01360824+0.12403225j]
 [ 0.01360824-0.12403225j  0.99218487+0.j        ]]",[1.37362191+2.73626336e-05j 1.37014369+6.27373664e-05j],"[[ 0.83445082+0.j         -0.55089761-0.01427048j]
 [ 0.55089761+0.01427048j  0.83445082+0.j        ]]",0.0016,-0.012936935979264215,1.3725656059497338,(1.3712+9.01e-05j),(0.0013656059497337836-9.01e-05j)
6,[1.37258754+0.01269252j 1.3711779 +0.0002908j ],"[[ 0.99213101+0.j         -0.01370233+0.12445204j]
 [ 0.01370233-0.12445204j  0.99213101+0.j        ]]",[1.3736218 +2.7364395e-05j 1.37014364+6.2735605e-05j],"[[ 0.83443911+0.j        -0.55091534-0.0142712j]
 [ 0.55091534+0.0142712j  0.83443911+0.j       ]]",0.0016,-0.012893223935117057,1.3725654451617617,(1.3712+9.01e-05j),(0.0013654451617617358-9.01e-05j)
7,[1.37258749+0.01264812j 1.37117775+0.0002915j ],"[[ 0.99207658+0.j         -0.01379694+0.12487477j]
 [ 0.01379694-0.12487477j  0.99207658+0.j        ]]",[1.37362166+2.73666839e-05j 1.37014358+6.27333161e-05j],"[[ 0.83442389+0.j         -0.55093837-0.01427213j]
 [ 0.55093837+0.01427213j  0.83442389+0.j        ]]",0.0016,-0.0128495118909699,1.372565236231269,(1.3712+9.01e-05j),(0.0013652362312690514-9.01e-05j)
8,[1.37258739+0.01260371j 1.37117759+0.00029219j],"[[ 0.99202157+0.j         -0.01389208+0.12530047j]
 [ 0.01389208-0.12530047j  0.99202157+0.j        ]]",[1.37362148+2.73694986e-05j 1.3701435 +6.27305014e-05j],"[[ 0.83440517+0.j         -0.55096669-0.01427328j]
 [ 0.55096669+0.01427328j  0.83440517+0.j        ]]",0.0016,-0.012805799846822742,1.372564979321518,(1.3712+9.01e-05j),(0.0013649793215180228-9.01e-05j)
9,[1.37258724+0.01255929j 1.37117744+0.0002929j ],"[[ 0.99196599+0.j         -0.01398776+0.12572918j]
 [ 0.01398776-0.12572918j  0.99196599+0.j        ]]",[1.37362126+2.73728376e-05j 1.37014341+6.27271624e-05j],"[[ 0.83438296+0.j         -0.55100028-0.01427464j]
 [ 0.55100028+0.01427464j  0.83438296+0.j        ]]",0.0016,-0.012762087802675586,1.3725646745957805,(1.3712+9.01e-05j),(0.0013646745957804907-9.01e-05j)
10,[1.37258704+0.01251487j 1.37117728+0.0002936j ],"[[ 0.99190981+0.j         -0.01408398+0.12616092j]
 [ 0.01408398-0.12616092j  0.99190981+0.j        ]]",[1.37362102+2.73766991e-05j 1.3701433 +6.27233009e-05j],"[[ 0.83435728+0.j         -0.55103913-0.01427622j]
 [ 0.55103913+0.01427622j  0.83435728+0.j        ]]",0.0016,-0.012718375758528428,1.3725643222173385,(1.3712+9.01e-05j),(0.0013643222173385094-9.01e-05j)
11,[1.3725868 +0.01247045j 1.37117712+0.00029432j],"[[ 0.99185303+0.j         -0.01418076+0.12659573j]
 [ 0.01418076-0.12659573j  0.99185303+0.j        ]]",[1.37362074+2.73810816e-05j 1.37014318+6.27189184e-05j],"[[ 0.83432813+0.j       -0.55108322-0.014278j]
 [ 0.55108322+0.014278j  0.83432813+0.j      ]]",0.0016,-0.01267466371438127,1.372563922349483,(1.3712+9.01e-05j),(0.0013639223494830155-9.01e-05j)
12,[1.37258651+0.01242602j 1.37117697+0.00029504j],"[[ 0.99179564+0.j         -0.01427809+0.12703364j]
 [ 0.01427809-0.12703364j  0.99179564+0.j        ]]",[1.37362043+2.73859835e-05j 1.37014305+6.27140165e-05j],"[[ 0.83429552+0.j      -0.55113253-0.01428j]
 [ 0.55113253+0.01428j  0.83429552+0.j     ]]",0.0016,-0.012630951670234114,1.3725634751555151,(1.3712+9.01e-05j),(0.0013634751555151592-9.01e-05j)
13,[1.37258617+0.01238158j 1.37117681+0.00029576j],"[[ 0.99173764+0.j         -0.01437598+0.12747468j]
 [ 0.01437598-0.12747468j  0.99173764+0.j        ]]",[1.37362009+2.73914033e-05j 1.3701429 +6.27085967e-05j],"[[ 0.83425947+0.j         -0.55118704-0.01428221j]
 [ 0.55118704+0.01428221j  0.83425947+0.j        ]]",0.0016,-0.012587239626086957,1.3725629807987452,(1.3712+9.01e-05j),(0.0013629807987451947-9.01e-05j)
14,[1.37258579+0.01233714j 1.37117665+0.00029649j],"[[ 0.991679  +0.j        -0.01447444+0.1279189j]
 [ 0.01447444-0.1279189j  0.991679  +0.j       ]]",[1.37361971+2.73973393e-05j 1.37014273+6.27026607e-05j],"[[ 0.83421998+0.j         -0.55124674-0.01428463j]
 [ 0.55124674+0.01428463j  0.83421998+0.j        ]]",0.0016,-0.012543527581939799,1.3725624394424922,(1.3712+9.01e-05j),(0.0013624394424922581-9.01e-05j)
15,[1.37258537+0.01229269j 1.37117649+0.00029722j],"[[ 0.99161974+0.j         -0.01457348+0.12836631j]
 [ 0.01457348-0.12836631j  0.99161974+0.j        ]]",[1.3736193 +2.74037901e-05j 1.37014255+6.26962099e-05j],"[[ 0.83417707+0.j         -0.55131161-0.01428726j]
 [ 0.55131161+0.01428726j  0.83417707+0.j        ]]",0.0016,-0.012499815537792643,1.3725618512500852,(1.3712+9.01e-05j),(0.0013618512500852553-9.01e-05j)
16,[1.37258489+0.01224824j 1.37117632+0.00029796j],"[[ 0.99155983+0.j         -0.01467311+0.12881697j]
 [ 0.01467311-0.12881697j  0.99155983+0.j        ]]",[1.37361886+2.74107543e-05j 1.37014236+6.26892457e-05j],"[[ 0.83413074+0.j        -0.55138163-0.0142901j]
 [ 0.55138163+0.0142901j  0.83413074+0.j       ]]",0.0016,-0.012456103493645485,1.3725612163848622,(1.3712+9.01e-05j),(0.001361216384862196-9.01e-05j)
17,[1.37258437+0.01220378j 1.37117616+0.00029871j],"[[ 0.99149926+0.j         -0.01477333+0.12927091j]
 [ 0.01477333-0.12927091j  0.99149926+0.j        ]]",[1.37361838+2.74182302e-05j 1.37014215+6.26817698e-05j],"[[ 0.834081  +0.j         -0.55145679-0.01429314j]
 [ 0.55145679+0.01429314j  0.834081  +0.j        ]]",0.0016,-0.012412391449498327,1.3725605350101693,(1.3712+9.01e-05j),(0.001360535010169306-9.01e-05j)
18,[1.37258381+0.01215932j 1.371176  +0.00029946j],"[[ 0.99143803+0.j         -0.01487414+0.12972815j]
 [ 0.01487414-0.12972815j  0.99143803+0.j        ]]",[1.37361788+2.74262166e-05j 1.37014193+6.26737834e-05j],"[[ 0.83402786+0.j         -0.55153707-0.01429639j]
 [ 0.55153707+0.01429639j  0.83402786+0.j        ]]",0.0016,-0.012368679405351172,1.3725598072893626,(1.3712+9.01e-05j),(0.00135980728936258-9.01e-05j)
