,eigVal_lossDiff_applied,eigVec_lossDiff_applied,eigVal_lossless,eigVec_lossless,Coupling coeff.,Ecm,XC,Ecm-XC
0,[1.371-0.00320987j 1.371-0.00017013j],"[[9.87400061e-01+0.j         3.99680289e-15-0.15824386j]
 [0.00000000e+00+0.15824386j 9.87400061e-01+0.j        ]]",[1.3715-9.e-05j 1.3705-9.e-05j],"[[ 0.70710678-0.00000000e+00j  0.70710678+0.00000000e+00j]
 [ 0.70710678+0.00000000e+00j -0.70710678-3.83265468e-17j]]",0.0005,(1.371-9e-05j),(1.371-9e-05j),0j
1,[1.371-0.00320654j 1.371-0.00017346j],"[[9.86873554e-01+0.j         1.77332107e-15-0.16149485j]
 [0.00000000e+00+0.16149485j 9.86873554e-01+0.j        ]]",[1.37151-9.e-05j 1.37049-9.e-05j],"[[ 0.70710678+0.j -0.70710678+0.j]
 [ 0.70710678-0.j  0.70710678+0.j]]",0.00051,(1.371-9e-05j),(1.371-9e-05j),0j
2,[1.371-0.00320314j 1.371-0.00017686j],"[[9.86335140e-01+0.j        2.47024623e-15-0.1647513j]
 [0.00000000e+00+0.1647513j 9.86335140e-01+0.j       ]]",[1.37152-9.e-05j 1.37048-9.e-05j],"[[ 0.70710678+0.j -0.70710678+0.j]
 [ 0.70710678-0.j  0.70710678+0.j]]",0.0005200000000000001,(1.371-9e-05j),(1.371-9e-05j),0j
3,[1.371-0.00319967j 1.371-0.00018033j],"[[ 9.85784719e-01+0.j         -7.79801571e-15-0.16801336j]
 [ 0.00000000e+00+0.16801336j  9.85784719e-01+0.j        ]]",[1.37153-9.e-05j 1.37047-9.e-05j],"[[ 0.70710678-0.00000000e+00j  0.70710678+0.00000000e+00j]
 [ 0.70710678+0.00000000e+00j -0.70710678+1.80926238e-17j]]",0.00053,(1.371-9e-05j),(1.371-9e-05j),0j
4,[1.371-0.00319612j 1.371-0.00018388j],"[[ 9.85222190e-01+0.j         -1.50851553e-14-0.17128116j]
 [ 0.00000000e+00+0.17128116j  9.85222190e-01+0.j        ]]",[1.37154-9.e-05j 1.37046-9.e-05j],"[[ 0.70710678-0.0000000e+00j  0.70710678+0.0000000e+00j]
 [ 0.70710678+0.0000000e+00j -0.70710678-1.7740258e-17j]]",0.00054,(1.371-9e-05j),(1.371-9e-05j),0j
5,[1.371-0.0031925j 1.371-0.0001875j],"[[9.84647450e-01+0.j         3.44724249e-14-0.17455486j]
 [0.00000000e+00+0.17455486j 9.84647450e-01+0.j        ]]",[1.37155-9.e-05j 1.37045-9.e-05j],"[[ 0.70710678+0.j  0.70710678+0.j]
 [ 0.70710678-0.j -0.70710678+0.j]]",0.00055,(1.371-9e-05j),(1.371-9e-05j),0j
6,[1.371-0.0031888j 1.371-0.0001912j],"[[ 9.84060389e-01+0.j         -1.95884975e-14-0.17783461j]
 [ 0.00000000e+00+0.17783461j  9.84060389e-01+0.j        ]]",[1.37156-9.e-05j 1.37044-9.e-05j],"[[ 0.70710678-0.j -0.70710678+0.j]
 [ 0.70710678+0.j  0.70710678+0.j]]",0.0005600000000000001,(1.371-9e-05j),(1.371-9e-05j),0j
7,[1.371-0.00318503j 1.371-0.00019497j],"[[9.83460898e-01+0.j         7.48706652e-15-0.18112057j]
 [0.00000000e+00+0.18112057j 9.83460898e-01+0.j        ]]",[1.37157-9.e-05j 1.37043-9.e-05j],"[[ 0.70710678-0.j  0.70710678+0.j]
 [ 0.70710678+0.j -0.70710678-0.j]]",0.00057,(1.371-9e-05j),(1.371-9e-05j),0j
8,[1.371-0.00318117j 1.371-0.00019883j],"[[9.82848862e-01+0.j         1.24921774e-14-0.18441289j]
 [0.00000000e+00+0.18441289j 9.82848862e-01+0.j        ]]",[1.37158-9.e-05j 1.37042-9.e-05j],"[[ 0.70710678+0.00000000e+00j  0.70710678+0.00000000e+00j]
 [ 0.70710678-0.00000000e+00j -0.70710678-1.65069781e-17j]]",0.00058,(1.371-9e-05j),(1.371-9e-05j),0j
9,[1.371-0.00317725j 1.371-0.00020275j],"[[9.82224162e-01+0.j         1.73853987e-14-0.18771173j]
 [0.00000000e+00+0.18771173j 9.82224162e-01+0.j        ]]",[1.37159-9.e-05j 1.37041-9.e-05j],"[[ 0.70710678+0.00000000e+00j  0.70710678+0.00000000e+00j]
 [ 0.70710678-0.00000000e+00j -0.70710678-1.62630326e-17j]]",0.00059,(1.371-9e-05j),(1.371-9e-05j),0j
10,[1.371-0.00317324j 1.371-0.00020676j],"[[9.81586677e-01+0.j         4.57442244e-14-0.19101726j]
 [0.00000000e+00+0.19101726j 9.81586677e-01+0.j        ]]",[1.3716-9.e-05j 1.3704-9.e-05j],"[[ 0.70710678-0.00000000e+00j  0.70710678+0.00000000e+00j]
 [ 0.70710678+0.00000000e+00j -0.70710678-3.19704116e-17j]]",0.0006000000000000001,(1.371-9e-05j),(1.371-9e-05j),0j
11,[1.371-0.00316916j 1.371-0.00021084j],"[[9.80936282e-01+0.j         1.65423231e-14-0.19432965j]
 [0.00000000e+00+0.19432965j 9.80936282e-01+0.j        ]]",[1.37161-9.e-05j 1.37039-9.e-05j],"[[ 0.70710678-0.00000000e+00j  0.70710678+0.00000000e+00j]
 [ 0.70710678+0.00000000e+00j -0.70710678+1.57099735e-17j]]",0.00061,(1.371-9e-05j),(1.371-9e-05j),0j
12,[1.371-0.00316499j 1.371-0.00021501j],"[[ 9.80272846e-01+0.j         -2.45914400e-14-0.19764905j]
 [ 0.00000000e+00+0.19764905j  9.80272846e-01+0.j        ]]",[1.37162-9.e-05j 1.37038-9.e-05j],"[[ 0.70710678+0.j  0.70710678+0.j]
 [ 0.70710678-0.j -0.70710678+0.j]]",0.00062,(1.371-9e-05j),(1.371-9e-05j),0j
13,[1.371-0.00316075j 1.371-0.00021925j],"[[ 9.79596235e-01+0.j         -4.55815941e-14-0.20097566j]
 [ 0.00000000e+00+0.20097566j  9.79596235e-01+0.j        ]]",[1.37163-9.e-05j 1.37037-9.e-05j],"[[ 0.70710678-0.j -0.70710678+0.j]
 [ 0.70710678+0.j  0.70710678+0.j]]",0.00063,(1.371-9e-05j),(1.371-9e-05j),0j
14,[1.371-0.00315642j 1.371-0.00022358j],"[[9.78906313e-01+0.j         9.54097912e-15-0.20430964j]
 [0.00000000e+00+0.20430964j 9.78906313e-01+0.j        ]]",[1.37164-9.e-05j 1.37036-9.e-05j],"[[ 0.70710678-0.j  0.70710678+0.j]
 [ 0.70710678+0.j -0.70710678-0.j]]",0.00064,(1.371-9e-05j),(1.371-9e-05j),0j
15,[1.371-0.00315202j 1.371-0.00022798j],"[[ 9.78202936e-01+0.j         -1.95182412e-14-0.20765119j]
 [ 0.00000000e+00+0.20765119j  9.78202936e-01+0.j        ]]",[1.37165-9.e-05j 1.37035-9.e-05j],"[[ 0.70710678+0.00000000e+00j  0.70710678+0.00000000e+00j]
 [ 0.70710678-0.00000000e+00j -0.70710678+1.47432059e-17j]]",0.00065,(1.371-9e-05j),(1.371-9e-05j),0j
16,[1.371-0.00314753j 1.371-0.00023247j],"[[9.77485959e-01+0.j         4.00460914e-15-0.21100047j]
 [0.00000000e+00+0.21100047j 9.77485959e-01+0.j        ]]",[1.37166-9.e-05j 1.37034-9.e-05j],"[[ 0.70710678+0.00000000e+00j -0.70710678-2.90295132e-17j]
 [ 0.70710678-0.00000000e+00j  0.70710678+0.00000000e+00j]]",0.00066,(1.371-9e-05j),(1.371-9e-05j),0j
17,[1.371-0.00314296j 1.371-0.00023704j],"[[9.76755230e-01+0.j        9.68669589e-15-0.2143577j]
 [0.00000000e+00+0.2143577j 9.76755230e-01+0.j       ]]",[1.37167-9.e-05j 1.37033-9.e-05j],"[[ 0.70710678-0.00000000e+00j  0.70710678+0.00000000e+00j]
 [ 0.70710678+0.00000000e+00j -0.70710678-1.43031102e-17j]]",0.00067,(1.371-9e-05j),(1.371-9e-05j),0j
18,[1.371-0.00313831j 1.371-0.00024169j],"[[ 9.76010592e-01+0.j         -3.32919456e-14-0.21772305j]
 [ 0.00000000e+00+0.21772305j  9.76010592e-01+0.j        ]]",[1.37168-9.e-05j 1.37032-9.e-05j],"[[ 0.70710678+0.j  0.70710678+0.j]
 [ 0.70710678-0.j -0.70710678-0.j]]",0.00068,(1.371-9e-05j),(1.371-9e-05j),0j
19,[1.371-0.00313357j 1.371-0.00024643j],"[[9.75251884e-01+0.j         9.24347404e-15-0.22109673j]
 [0.00000000e+00+0.22109673j 9.75251884e-01+0.j        ]]",[1.37169-9.e-05j 1.37031-9.e-05j],"[[ 0.70710678+0.00000000e+00j -0.70710678-1.38885273e-17j]
 [ 0.70710678-0.00000000e+00j  0.70710678+0.00000000e+00j]]",0.0006900000000000001,(1.371-9e-05j),(1.371-9e-05j),0j
20,[1.371-0.00312875j 1.371-0.00025125j],"[[9.74478940e-01+0.j         5.48033841e-14-0.22447894j]
 [0.00000000e+00+0.22447894j 9.74478940e-01+0.j        ]]",[1.3717-9.e-05j 1.3703-9.e-05j],"[[ 0.70710678-0.00000000e+00j  0.70710678+0.00000000e+00j]
 [ 0.70710678+0.00000000e+00j -0.70710678+1.36880524e-17j]]",0.0007,(1.371-9e-05j),(1.371-9e-05j),0j
21,[1.371-0.00312384j 1.371-0.00025616j],"[[ 9.73691589e-01+0.j         -4.20635748e-14-0.22786989j]
 [ 0.00000000e+00+0.22786989j  9.73691589e-01+0.j        ]]",[1.37171-9.e-05j 1.37029-9.e-05j],"[[ 0.70710678-0.00000000e+00j  0.70710678+0.00000000e+00j]
 [ 0.70710678+0.00000000e+00j -0.70710678+1.34973012e-17j]]",0.00071,(1.371-9e-05j),(1.371-9e-05j),0j
22,[1.371-0.00311885j 1.371-0.00026115j],"[[ 9.72889653e-01+0.j        -6.82127965e-14-0.2312698j]
 [ 0.00000000e+00+0.2312698j  9.72889653e-01+0.j       ]]",[1.37172-9.e-05j 1.37028-9.e-05j],"[[ 0.70710678+0.j -0.70710678+0.j]
 [ 0.70710678-0.j  0.70710678+0.j]]",0.00072,(1.371-9e-05j),(1.371-9e-05j),0j
23,[1.371-0.00311376j 1.371-0.00026624j],"[[9.72072949e-01+0.j         9.50628465e-15-0.23467889j]
 [0.00000000e+00+0.23467889j 9.72072949e-01+0.j        ]]",[1.37173-9.e-05j 1.37027-9.e-05j],"[[ 0.70710678-0.00000000e+00j -0.70710678+1.99650222e-30j]
 [ 0.70710678+0.00000000e+00j  0.70710678+0.00000000e+00j]]",0.00073,(1.371-9e-05j),(1.371-9e-05j),0j
24,[1.371-0.00310859j 1.371-0.00027141j],"[[ 9.71241289e-01+0.j         -2.08444373e-14-0.23809737j]
 [ 0.00000000e+00+0.23809737j  9.71241289e-01+0.j        ]]",[1.37174-9.e-05j 1.37026-9.e-05j],"[[ 0.70710678-0.00000000e+00j  0.70710678+0.00000000e+00j]
 [ 0.70710678+0.00000000e+00j -0.70710678-1.29697685e-17j]]",0.00074,(1.371-9e-05j),(1.371-9e-05j),0j
25,[1.371-0.00310333j 1.371-0.00027667j],"[[9.70394476e-01+0.j         1.10189635e-14-0.24152549j]
 [0.00000000e+00+0.24152549j 9.70394476e-01+0.j        ]]",[1.37175-9.e-05j 1.37025-9.e-05j],"[[ 0.70710678+0.00000000e+00j  0.70710678+0.00000000e+00j]
 [ 0.70710678-0.00000000e+00j -0.70710678-1.27800331e-17j]]",0.00075,(1.371-9e-05j),(1.371-9e-05j),0j
26,[1.371-0.00309798j 1.371-0.00028202j],"[[9.69532309e-01+0.j         2.20656826e-15-0.24496347j]
 [0.00000000e+00+0.24496347j 9.69532309e-01+0.j        ]]",[1.37176-9.e-05j 1.37024-9.e-05j],"[[ 0.70710678+0.j  0.70710678+0.j]
 [ 0.70710678-0.j -0.70710678-0.j]]",0.00076,(1.371-9e-05j),(1.371-9e-05j),0j
27,[1.371-0.00309253j 1.371-0.00028747j],"[[9.68654580e-01+0.j         2.34187669e-16-0.24841156j]
 [0.00000000e+00+0.24841156j 9.68654580e-01+0.j        ]]",[1.37177-9.e-05j 1.37023-9.e-05j],"[[ 0.70710678-0.0000000e+00j  0.70710678+0.0000000e+00j]
 [ 0.70710678+0.0000000e+00j -0.70710678-1.2468325e-17j]]",0.0007700000000000001,(1.371-9e-05j),(1.371-9e-05j),0j
28,[1.371-0.003087j 1.371-0.000293j],"[[9.67761072e-01+0.j         3.31262795e-14-0.25187002j]
 [0.00000000e+00+0.25187002j 9.67761072e-01+0.j        ]]",[1.37178-9.e-05j 1.37022-9.e-05j],"[[ 0.70710678+0.00000000e+00j -0.70710678-1.22860049e-17j]
 [ 0.70710678-0.00000000e+00j  0.70710678+0.00000000e+00j]]",0.0007800000000000001,(1.371-9e-05j),(1.371-9e-05j),0j
29,[1.371-0.00308137j 1.371-0.00029863j],"[[9.66851565e-01+0.j         4.21433721e-14-0.25533909j]
 [0.00000000e+00+0.25533909j 9.66851565e-01+0.j        ]]",[1.37179-9.e-05j 1.37021-9.e-05j],"[[ 0.70710678+0.00000000e+00j -0.70710678-8.52376249e-31j]
 [ 0.70710678-0.00000000e+00j  0.70710678+0.00000000e+00j]]",0.00079,(1.371-9e-05j),(1.371-9e-05j),0j
30,[1.371-0.00307564j 1.371-0.00030436j],"[[ 9.65925826e-01+0.j         -5.31068245e-14-0.25881905j]
 [ 0.00000000e+00+0.25881905j  9.65925826e-01+0.j        ]]",[1.3718-9.e-05j 1.3702-9.e-05j],"[[ 0.70710678-0.0000000e+00j -0.70710678+2.3960868e-17j]
 [ 0.70710678+0.0000000e+00j  0.70710678+0.0000000e+00j]]",0.0008,(1.371-9e-05j),(1.371-9e-05j),0j
31,[1.371-0.00306982j 1.371-0.00031018j],"[[ 9.64983618e-01+0.j         -1.46931078e-15-0.26231015j]
 [ 0.00000000e+00+0.26231015j  9.64983618e-01+0.j        ]]",[1.37181-9.e-05j 1.37019-9.e-05j],"[[ 0.70710678-0.j  0.70710678+0.j]
 [ 0.70710678+0.j -0.70710678+0.j]]",0.00081,(1.371-9e-05j),(1.371-9e-05j),0j
32,[1.371-0.0030639j 1.371-0.0003161j],"[[ 9.64024695e-01+0.j         -2.87825319e-14-0.26581269j]
 [ 0.00000000e+00+0.26581269j  9.64024695e-01+0.j        ]]",[1.37182-9.e-05j 1.37018-9.e-05j],"[[ 0.70710678+0.j -0.70710678+0.j]
 [ 0.70710678-0.j  0.70710678+0.j]]",0.00082,(1.371-9e-05j),(1.371-9e-05j),0j
33,[1.371-0.00305788j 1.371-0.00032212j],"[[ 9.63048800e-01+0.j         -1.98036032e-14-0.26932695j]
 [ 0.00000000e+00+0.26932695j  9.63048800e-01+0.j        ]]",[1.37183-9.e-05j 1.37017-9.e-05j],"[[ 0.70710678+0.j -0.70710678+0.j]
 [ 0.70710678-0.j  0.70710678+0.j]]",0.00083,(1.371-9e-05j),(1.371-9e-05j),0j
34,[1.371-0.00305176j 1.371-0.00032824j],"[[ 9.62055671e-01+0.j         -3.92463839e-14-0.27285323j]
 [ 0.00000000e+00+0.27285323j  9.62055671e-01+0.j        ]]",[1.37184-9.e-05j 1.37016-9.e-05j],"[[ 0.70710678-0.00000000e+00j -0.70710678-2.28122913e-17j]
 [ 0.70710678+0.00000000e+00j  0.70710678+0.00000000e+00j]]",0.00084,(1.371-9e-05j),(1.371-9e-05j),0j
35,[1.371-0.00304554j 1.371-0.00033446j],"[[9.61045032e-01+0.j         2.58126853e-14-0.27639184j]
 [0.00000000e+00+0.27639184j 9.61045032e-01+0.j        ]]",[1.37185-9.e-05j 1.37015-9.e-05j],"[[ 0.70710678+0.j -0.70710678+0.j]
 [ 0.70710678-0.j  0.70710678+0.j]]",0.0008500000000000001,(1.371-9e-05j),(1.371-9e-05j),0j
36,[1.371-0.00303922j 1.371-0.00034078j],"[[ 9.60016601e-01+0.j         -1.58727198e-15-0.27994308j]
 [ 0.00000000e+00+0.27994308j  9.60016601e-01+0.j        ]]",[1.37186-9.e-05j 1.37014-9.e-05j],"[[ 0.70710678+0.0000000e+00j -0.70710678+7.1926449e-31j]
 [ 0.70710678-0.0000000e+00j  0.70710678+0.0000000e+00j]]",0.0008600000000000001,(1.371-9e-05j),(1.371-9e-05j),0j
37,[1.371-0.0030328j 1.371-0.0003472j],"[[9.58970084e-01+0.j         2.79498646e-14-0.28350728j]
 [0.00000000e+00+0.28350728j 9.58970084e-01+0.j        ]]",[1.37187-9.e-05j 1.37013-9.e-05j],"[[ 0.70710678-0.j  0.70710678+0.j]
 [ 0.70710678+0.j -0.70710678+0.j]]",0.0008700000000000001,(1.371-9e-05j),(1.371-9e-05j),0j
38,[1.371-0.00302626j 1.371-0.00035374j],"[[9.57905177e-01+0.j         1.19348975e-15-0.28708478j]
 [0.00000000e+00+0.28708478j 9.57905177e-01+0.j        ]]",[1.37188-9.e-05j 1.37012-9.e-05j],"[[ 0.70710678-0.0000000e+00j  0.70710678+0.0000000e+00j]
 [ 0.70710678+0.0000000e+00j -0.70710678-2.1779736e-17j]]",0.00088,(1.371-9e-05j),(1.371-9e-05j),0j
39,[1.371-0.00301962j 1.371-0.00036038j],"[[9.56821562e-01+0.j         6.97749150e-14-0.29067593j]
 [0.00000000e+00+0.29067593j 9.56821562e-01+0.j        ]]",[1.37189-9.e-05j 1.37011-9.e-05j],"[[ 0.70710678+0.00000000e+00j  0.70710678+0.00000000e+00j]
 [ 0.70710678-0.00000000e+00j -0.70710678-1.07742591e-17j]]",0.0008900000000000001,(1.371-9e-05j),(1.371-9e-05j),0j
40,[1.371-0.00301288j 1.371-0.00036712j],"[[9.55718914e-01+0.j         4.61315014e-14-0.29428109j]
 [0.00000000e+00+0.29428109j 9.55718914e-01+0.j        ]]",[1.3719-9.e-05j 1.3701-9.e-05j],"[[ 0.70710678-0.00000000e+00j  0.70710678+0.00000000e+00j]
 [ 0.70710678+0.00000000e+00j -0.70710678-2.12957419e-17j]]",0.0009,(1.371-9e-05j),(1.371-9e-05j),0j
