,Resolution,Seps,Lam_ss,Lam_us,NULL,Animate,Times,Nwvg_ups,Nwvg_los,Name
"[80,0.05,0.6,0.85,True,300,10,10]",80,0.05,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.05,0.6,0.85,True,300,10,10]"
"[80,0.057,0.6,0.85,True,300,10,10]",80,0.057,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.057,0.6,0.85,True,300,10,10]"
"[80,0.064,0.6,0.85,True,300,10,10]",80,0.064,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.064,0.6,0.85,True,300,10,10]"
"[80,0.071,0.6,0.85,True,300,10,10]",80,0.071,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.071,0.6,0.85,True,300,10,10]"
"[80,0.078,0.6,0.85,True,300,10,10]",80,0.078,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.078,0.6,0.85,True,300,10,10]"
"[80,0.085,0.6,0.85,True,300,10,10]",80,0.085,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.085,0.6,0.85,True,300,10,10]"
"[80,0.092,0.6,0.85,True,300,10,10]",80,0.092,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.092,0.6,0.85,True,300,10,10]"
"[80,0.099,0.6,0.85,True,300,10,10]",80,0.099,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.099,0.6,0.85,True,300,10,10]"
"[80,0.106,0.6,0.85,True,300,10,10]",80,0.106,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.106,0.6,0.85,True,300,10,10]"
"[80,0.113,0.6,0.85,True,300,10,10]",80,0.113,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.113,0.6,0.85,True,300,10,10]"
"[80,0.12,0.6,0.85,True,300,10,10]",80,0.12,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.12,0.6,0.85,True,300,10,10]"
"[80,0.127,0.6,0.85,True,300,10,10]",80,0.127,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.127,0.6,0.85,True,300,10,10]"
"[80,0.134,0.6,0.85,True,300,10,10]",80,0.134,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.134,0.6,0.85,True,300,10,10]"
"[80,0.141,0.6,0.85,True,300,10,10]",80,0.141,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.141,0.6,0.85,True,300,10,10]"
"[80,0.148,0.6,0.85,True,300,10,10]",80,0.148,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.148,0.6,0.85,True,300,10,10]"
"[80,0.155,0.6,0.85,True,300,10,10]",80,0.155,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.155,0.6,0.85,True,300,10,10]"
"[80,0.162,0.6,0.85,True,300,10,10]",80,0.162,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.162,0.6,0.85,True,300,10,10]"
"[80,0.169,0.6,0.85,True,300,10,10]",80,0.169,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.169,0.6,0.85,True,300,10,10]"
"[80,0.176,0.6,0.85,True,300,10,10]",80,0.176,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.176,0.6,0.85,True,300,10,10]"
"[80,0.183,0.6,0.85,True,300,10,10]",80,0.183,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.183,0.6,0.85,True,300,10,10]"
"[80,0.19,0.6,0.85,True,300,10,10]",80,0.19,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.19,0.6,0.85,True,300,10,10]"
"[80,0.197,0.6,0.85,True,300,10,10]",80,0.197,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.197,0.6,0.85,True,300,10,10]"
"[80,0.204,0.6,0.85,True,300,10,10]",80,0.204,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.204,0.6,0.85,True,300,10,10]"
"[80,0.211,0.6,0.85,True,300,10,10]",80,0.211,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.211,0.6,0.85,True,300,10,10]"
"[80,0.218,0.6,0.85,True,300,10,10]",80,0.218,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.218,0.6,0.85,True,300,10,10]"
"[80,0.225,0.6,0.85,True,300,10,10]",80,0.225,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.225,0.6,0.85,True,300,10,10]"
"[80,0.232,0.6,0.85,True,300,10,10]",80,0.232,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.232,0.6,0.85,True,300,10,10]"
"[80,0.239,0.6,0.85,True,300,10,10]",80,0.239,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.239,0.6,0.85,True,300,10,10]"
"[80,0.246,0.6,0.85,True,300,10,10]",80,0.246,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.246,0.6,0.85,True,300,10,10]"
"[80,0.253,0.6,0.85,True,300,10,10]",80,0.253,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.253,0.6,0.85,True,300,10,10]"
"[80,0.26,0.6,0.85,True,300,10,10]",80,0.26,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.26,0.6,0.85,True,300,10,10]"
"[80,0.267,0.6,0.85,True,300,10,10]",80,0.267,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.267,0.6,0.85,True,300,10,10]"
"[80,0.274,0.6,0.85,True,300,10,10]",80,0.274,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.274,0.6,0.85,True,300,10,10]"
"[80,0.281,0.6,0.85,True,300,10,10]",80,0.281,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.281,0.6,0.85,True,300,10,10]"
"[80,0.288,0.6,0.85,True,300,10,10]",80,0.288,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.288,0.6,0.85,True,300,10,10]"
"[80,0.295,0.6,0.85,True,300,10,10]",80,0.295,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.295,0.6,0.85,True,300,10,10]"
"[80,0.302,0.6,0.85,True,300,10,10]",80,0.302,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.302,0.6,0.85,True,300,10,10]"
"[80,0.309,0.6,0.85,True,300,10,10]",80,0.309,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.309,0.6,0.85,True,300,10,10]"
"[80,0.316,0.6,0.85,True,300,10,10]",80,0.316,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.316,0.6,0.85,True,300,10,10]"
"[80,0.323,0.6,0.85,True,300,10,10]",80,0.323,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.323,0.6,0.85,True,300,10,10]"
"[80,0.33,0.6,0.85,True,300,10,10]",80,0.33,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.33,0.6,0.85,True,300,10,10]"
"[80,0.337,0.6,0.85,True,300,10,10]",80,0.337,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.337,0.6,0.85,True,300,10,10]"
"[80,0.344,0.6,0.85,True,300,10,10]",80,0.344,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.344,0.6,0.85,True,300,10,10]"
"[80,0.351,0.6,0.85,True,300,10,10]",80,0.351,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.351,0.6,0.85,True,300,10,10]"
"[80,0.358,0.6,0.85,True,300,10,10]",80,0.358,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.358,0.6,0.85,True,300,10,10]"
"[80,0.365,0.6,0.85,True,300,10,10]",80,0.365,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.365,0.6,0.85,True,300,10,10]"
"[80,0.372,0.6,0.85,True,300,10,10]",80,0.372,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.372,0.6,0.85,True,300,10,10]"
"[80,0.379,0.6,0.85,True,300,10,10]",80,0.379,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.379,0.6,0.85,True,300,10,10]"
"[80,0.386,0.6,0.85,True,300,10,10]",80,0.386,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.386,0.6,0.85,True,300,10,10]"
"[80,0.393,0.6,0.85,True,300,10,10]",80,0.393,0.6,0.85,TRUE,TRUE,300,10,10,"[80,0.393,0.6,0.85,True,300,10,10]"
