,freq,decay,Q,abs_amp,comp_amp,error,names,Nwvg_ups,comp_amp_real,comp_amp_imag,error_real,error_imag
2,1.3571557921944746,-0.0001039220556863,6529.681227102952,11.60490790779888,-10.092002440447132+5.729343268691628i,5.029656113930026e-09+0.0i,"[60,0.2,0.613,0.899,True,200,15,15,0.33,1.4]",15.0,-10.092002440447132,5.729343268691628,5.029656113930026e-09,0.0
3,1.3805664336389774,-9.206610121657232e-05,7497.691416254243,23.78183265426831,-13.528311944254567-19.559149785575084i,1.1319786175921894e-09+0.0i,"[60,0.2,0.613,0.899,True,200,15,15,0.33,1.4]",15.0,-13.528311944254567,-19.559149785575084,1.1319786175921894e-09,0.0
6,1.3571558102213892,-0.0001010922986743,6712.458950969648,11.592983568539378,-10.082163783583571-5.722520551419612i,2.127531402057067e-09+0.0i,"[60,0.2,0.613,0.899,True,200,15,15,0.33,1.4]",15.0,-10.082163783583571,-5.722520551419612,2.127531402057067e-09,0.0
7,1.3805660263416848,-9.262825859712429e-05,7452.186013483717,23.75659960884953,13.521678804365555+19.533054735160114i,1.3868424414058415e-09+0.0i,"[60,0.2,0.613,0.899,True,200,15,15,0.33,1.4]",15.0,13.521678804365555,19.533054735160114,1.3868424414058415e-09,0.0
15,1.35715545432343,-0.0001069888049396,6342.511513653128,11.614164361407068,-10.100819096421729-5.732562027151578i,3.0909189928145517e-09+0.0i,"[60,0.2,0.613,0.899,True,100,15,15,0.33,1.4]",15.0,-10.100819096421729,-5.732562027151578,3.0909189928145517e-09,0.0
16,1.3805665695022975,-9.22799049060709e-05,7480.320720462039,23.78845163274232,-13.531767886718768-19.564807408796216i,9.251818881569013e-10+0.0i,"[60,0.2,0.613,0.899,True,100,15,15,0.33,1.4]",15.0,-13.531767886718768,-19.564807408796216,9.251818881569013e-10,0.0
19,1.3571510266575766,-9.698486698914574e-05,6996.715409268257,11.58554726009124,-10.068072777211693+5.732260973523142i,1.003800671062654e-07+0.0i,"[60,0.2,0.613,0.899,True,100,15,15,0.33,1.4]",15.0,-10.068072777211693,5.732260973523142,1.003800671062654e-07,0.0
20,1.3805651340722227,-9.256985707311956e-05,7456.882713893221,23.756370168954103,13.525969404941721+19.52980479321166i,1.5723562564642282e-08+0.0i,"[60,0.2,0.613,0.899,True,100,15,15,0.33,1.4]",15.0,13.525969404941721,19.52980479321166,1.5723562564642282e-08,0.0
24,1.3805405878857742,-0.0003259961043519,2117.418842520045,23.427822589276094,-13.176832767923973-19.370956338827472i,3.668515034563482e-08+0.0i,"[60,0.2,0.613,0.899,True,100,5,15,0.33,1.4]",5.0,-13.176832767923973,-19.370956338827472,3.668515034563482e-08,0.0
28,1.3805387120464996,-0.0003246290009118,2126.3329957715328,23.51362209874317,13.891380869234636+18.971556650637954i,8.597124125956308e-10+0.0i,"[60,0.2,0.613,0.899,True,100,5,15,0.33,1.4]",5.0,13.891380869234636,18.971556650637954,8.597124125956308e-10,0.0
