,freq,decay,Q,abs_amp,comp_amp,error,names,Nwvg_ups,comp_amp_real,comp_amp_imag,error_real,error_imag
8,1.357157168794015,-0.000103909151294,6530.498766914199,11.611927668609503,-10.106938246591843+5.7172251539184575i,4.6591427188838164e-08+0.0i,"[60,0.2,0.613,0.899,True,500,15,15,0.33,1.4]",15.0,-10.106938246591843,5.7172251539184575,4.6591427188838164e-08,0.0
9,1.3805660202401273,-9.285242997833192e-05,7434.194347753187,23.79710511276049,-13.547364443697843-19.56453752015117i,1.351849883580456e-08+0.0i,"[60,0.2,0.613,0.899,True,500,15,15,0.33,1.4]",15.0,-13.547364443697843,-19.56453752015117,1.351849883580456e-08,0.0
12,1.357156429651524,-0.0001019418239557,6656.524167358854,11.585281959581192,-10.077605964151399+5.714946728911616i,6.465454618673981e-08+0.0i,"[60,0.2,0.613,0.899,True,500,15,15,0.33,1.4]",15.0,-10.077605964151399,5.714946728911616,6.465454618673981e-08,0.0
13,1.3805659123155631,-9.23632658873268e-05,7473.565919592452,23.74508990919979,13.523715114060927+19.517643923119966i,2.6650819162160266e-08+0.0i,"[60,0.2,0.613,0.899,True,500,15,15,0.33,1.4]",15.0,13.523715114060927,19.517643923119966,2.6650819162160266e-08,0.0
16,1.3805395618273848,-0.0003253355618237,2121.7163504789783,23.425962401746617,-13.187545360725613-19.36141425120723i,1.426513795678622e-08+0.0i,"[60,0.2,0.613,0.899,True,500,5,15,0.33,1.4]",5.0,-13.187545360725613,-19.36141425120723,1.426513795678622e-08,0.0
19,1.3805223524772459,-0.0003189097173455,2164.4407137668136,23.2886239172184,14.264428329138308-18.408858965196988i,7.879344136112204e-09+0.0i,"[60,0.2,0.613,0.899,True,500,5,15,0.33,1.4]",5.0,14.264428329138308,-18.408858965196988,7.879344136112204e-09,0.0
22,1.3571557921944746,-0.0001039220556863,6529.681227102952,11.60490790779888,-10.092002440447132+5.729343268691628i,5.029656113930026e-09+0.0i,"[60,0.2,0.613,0.899,True,200,15,15,0.33,1.4]",15.0,-10.092002440447132,5.729343268691628,5.029656113930026e-09,0.0
23,1.3805664336389774,-9.206610121657232e-05,7497.691416254243,23.78183265426831,-13.528311944254567-19.559149785575084i,1.1319786175921894e-09+0.0i,"[60,0.2,0.613,0.899,True,200,15,15,0.33,1.4]",15.0,-13.528311944254567,-19.559149785575084,1.1319786175921894e-09,0.0
26,1.3571558102213892,-0.0001010922986743,6712.458950969648,11.592983568539378,-10.082163783583571-5.722520551419612i,2.127531402057067e-09+0.0i,"[60,0.2,0.613,0.899,True,200,15,15,0.33,1.4]",15.0,-10.082163783583571,-5.722520551419612,2.127531402057067e-09,0.0
27,1.3805660263416848,-9.262825859712429e-05,7452.186013483717,23.75659960884953,13.521678804365555+19.533054735160114i,1.3868424414058415e-09+0.0i,"[60,0.2,0.613,0.899,True,200,15,15,0.33,1.4]",15.0,13.521678804365555,19.533054735160114,1.3868424414058415e-09,0.0
35,1.35715545432343,-0.0001069888049396,6342.511513653128,11.614164361407068,-10.100819096421729-5.732562027151578i,3.0909189928145517e-09+0.0i,"[60,0.2,0.613,0.899,True,100,15,15,0.33,1.4]",15.0,-10.100819096421729,-5.732562027151578,3.0909189928145517e-09,0.0
36,1.3805665695022975,-9.22799049060709e-05,7480.320720462039,23.78845163274232,-13.531767886718768-19.564807408796216i,9.251818881569013e-10+0.0i,"[60,0.2,0.613,0.899,True,100,15,15,0.33,1.4]",15.0,-13.531767886718768,-19.564807408796216,9.251818881569013e-10,0.0
39,1.3571510266575766,-9.698486698914574e-05,6996.715409268257,11.58554726009124,-10.068072777211693+5.732260973523142i,1.003800671062654e-07+0.0i,"[60,0.2,0.613,0.899,True,100,15,15,0.33,1.4]",15.0,-10.068072777211693,5.732260973523142,1.003800671062654e-07,0.0
40,1.3805651340722227,-9.256985707311956e-05,7456.882713893221,23.756370168954103,13.525969404941721+19.52980479321166i,1.5723562564642282e-08+0.0i,"[60,0.2,0.613,0.899,True,100,15,15,0.33,1.4]",15.0,13.525969404941721,19.52980479321166,1.5723562564642282e-08,0.0
44,1.3805405878857742,-0.0003259961043519,2117.418842520045,23.427822589276094,-13.176832767923973-19.370956338827472i,3.668515034563482e-08+0.0i,"[60,0.2,0.613,0.899,True,100,5,15,0.33,1.4]",5.0,-13.176832767923973,-19.370956338827472,3.668515034563482e-08,0.0
48,1.3805387120464996,-0.0003246290009118,2126.3329957715328,23.51362209874317,13.891380869234636+18.971556650637954i,8.597124125956308e-10+0.0i,"[60,0.2,0.613,0.899,True,100,5,15,0.33,1.4]",5.0,13.891380869234636,18.971556650637954,8.597124125956308e-10,0.0
52,1.3805209862086336,-0.0003244713818063,2127.3385938127794,23.439747057452752,-13.253000750010644-19.333383388263478i,9.493609655296816e-08+0.0i,"[60,0.2,0.613,0.899,True,50,5,15,0.33,1.4]",5.0,-13.253000750010644,-19.333383388263478,9.493609655296816e-08,0.0
55,1.3805506913998395,-0.0003133632373571,2202.7961911603525,23.46242380719397,13.834466691919507+18.949745704324172i,3.6216482296275345e-07+0.0i,"[60,0.2,0.613,0.899,True,50,5,15,0.33,1.4]",5.0,13.834466691919507,18.949745704324172,3.6216482296275345e-07,0.0
58,1.357014092167993,-0.0001396348150223,4859.153829045484,11.62342178697275,-9.965957772570528+5.981941132543338i,1.5553112137745401e-06+0.0i,"[60,0.2,0.613,0.899,True,50,15,15,0.33,1.4]",15.0,-9.965957772570528,5.981941132543338,1.5553112137745401e-06,0.0
59,1.380602347945019,-0.0001052502324579,6558.66650221751,23.789656639043603,-13.399633465858606-19.65699839711632i,8.565395068038576e-07+0.0i,"[60,0.2,0.613,0.899,True,50,15,15,0.33,1.4]",15.0,-13.399633465858606,-19.65699839711632,8.565395068038576e-07,0.0
61,1.3572357570507851,-8.678766444334845e-05,7819.289560077601,11.586149838178583,-10.155681939045571+5.576826375786608i,1.5621289732378729e-07+0.0i,"[60,0.2,0.613,0.899,True,50,15,15,0.33,1.4]",15.0,-10.155681939045571,5.576826375786608,1.5621289732378729e-07,0.0
62,1.380575869031007,-8.765337559035161e-05,7875.200810765884,23.717954132025334,13.464105179707898+19.525860286261924i,3.7766482547427326e-08+0.0i,"[60,0.2,0.613,0.899,True,50,15,15,0.33,1.4]",15.0,13.464105179707898,19.525860286261924,3.7766482547427326e-08,0.0
