,freq,decay,Q,abs_amp,comp_amp,error,names,a,comp_amp_real,comp_amp_imag,error_real,error_imag
0,1.3720513913546972,-0.000303568542672,2259.870833910469,0.2455735864870751,0.16943437760846142+0.17775932623791718i,2.397320015485033e-06+0.0i,"[50,0.65,0.6,0.85,True,50,2,15,0.33,1.4]",0.33,0.16943437760846142,0.17775932623791718,2.397320015485033e-06,0.0
18,1.3696882392498488,-0.0002378402808189,2879.4286538298143,0.2462826927042118,0.2462728069218614+0.002206648242197146i,5.963228578875822e-08+0.0i,"[50,0.65,0.6,0.85,True,500,2,15,0.33,1.4]",0.33,0.2462728069218614,0.002206648242197146,5.963228578875822e-08,0.0
19,1.369639614975339,-0.0002361685998382,2899.7072767365703,0.039942166878264,-0.001410115239677601+0.03991726781659688i,7.469291981765707e-08+0.0i,"[50,0.65,0.6,0.85,True,500,2,15,0.33,1.4]",0.33,-0.001410115239677601,0.03991726781659688,7.469291981765707e-08,0.0
23,1.3696543855592291,-0.0004339099988313,1578.2701357977608,0.7904829526486458,0.4899703966650179-0.6203162974000007i,9.02974702462827e-08+0.0i,"[50,0.65,0.6,0.85,True,500,3,15,0.33,1.4]",0.33,0.4899703966650179,-0.6203162974000007,9.02974702462827e-08,0.0
25,1.369654062183957,-0.0004285995160196,1597.825021950428,0.276605306836597,0.2074496626000802+0.18296210880201644i,2.2036910132393895e-08+0.0i,"[50,0.65,0.6,0.85,True,500,3,15,0.33,1.4]",0.33,0.2074496626000802,0.18296210880201644,2.2036910132393895e-08,0.0
28,1.2439124795896637,-0.0005637830160264,1103.1837109574417,0.0006056480096771069,-0.0003394572123448846+0.0005015758293746628i,2.6390867850663823e-05+0.0i,"[50,0.65,0.6,0.85,True,500,4,15,0.33,1.4]",0.33,-0.0003394572123448846,0.0005015758293746628,2.6390867850663823e-05,0.0
35,1.3686856179264022,-0.0005325217483226,1285.0983290705788,1.2417213187759226,-1.2145854834130039-0.25817423764778696i,1.8542601661982278e-07+0.0i,"[50,0.65,0.6,0.85,True,500,5,15,0.33,1.4]",0.33,-1.2145854834130039,-0.25817423764778696,1.8542601661982278e-07,0.0
36,1.3705599746474058,-0.0004105199956092,1669.2974633470546,1.4398147522874192,1.3731481299184594+0.4330481892421672i,1.0413151362465399e-07+0.0i,"[50,0.65,0.6,0.85,True,500,5,15,0.33,1.4]",0.33,1.3731481299184594,0.4330481892421672,1.0413151362465399e-07,0.0
38,1.3686802559949194,-0.0005364573721028,1275.665436966526,1.2642184198558557,-1.0403627437241627-0.7182573178002217i,1.5319114662975937e-07+0.0i,"[50,0.65,0.6,0.85,True,500,5,15,0.33,1.4]",0.33,-1.0403627437241627,-0.7182573178002217,1.5319114662975937e-07,0.0
39,1.3705616053869576,-0.0004138664273715,1655.8018659442637,1.4238907343794505,-1.420425810021989+0.0992740735289266i,1.3757290369663614e-07+0.0i,"[50,0.65,0.6,0.85,True,500,5,15,0.33,1.4]",0.33,-1.420425810021989,0.0992740735289266,1.3757290369663614e-07,0.0
