,freq,decay,Q,abs_amp,comp_amp,error,names,a,comp_amp_real,comp_amp_imag,error_real,error_imag
4,1.3560606444073555,-0.0001315432933761,5154.427145629726,1.1312247725133033,0.43799287888141186+1.042991718086461i,2.1899565562010605e-07+0.0i,"[50,0.2,0.6,0.85,True,500,10,15,0.33,1.4]",0.33,0.43799287888141186,1.042991718086461,2.1899565562010605e-07,0.0
5,1.3790782935860968,-9.083187771809304e-05,7591.378314704786,10.990227236085252,8.982348069189186-6.332654882805739i,3.915122206878409e-08+0.0i,"[50,0.2,0.6,0.85,True,500,10,15,0.33,1.4]",0.33,8.982348069189186,-6.332654882805739,3.915122206878409e-08,0.0
6,1.3560500289731325,-0.0001379105643161,4916.41099322895,1.1431641928195335,0.4588190250607826+1.0470479807473052i,2.1358292461861453e-07+0.0i,"[50,0.2,0.6,0.85,True,500,10,15,0.33,1.4]",0.33,0.4588190250607826,1.0470479807473052,2.1358292461861453e-07,0.0
7,1.3790780303344647,-9.160096445724538e-05,7527.639247609382,11.003395993735754,-8.986847605415305+6.3491175380521385i,3.828121224112606e-08+0.0i,"[50,0.2,0.6,0.85,True,500,10,15,0.33,1.4]",0.33,-8.986847605415305,6.3491175380521385,3.828121224112606e-08,0.0
10,1.3790541619293826,-0.0003121813866194,2208.7386068446867,10.719361707920726,8.862420120355319-6.030109869277539i,3.4726781788614385e-08+0.0i,"[50,0.2,0.6,0.85,True,500,5,15,0.33,1.4]",0.33,8.862420120355319,-6.030109869277539,3.4726781788614385e-08,0.0
12,1.3790539212307362,-0.0003126123910299,2205.6929936256506,10.779450616523436,-8.706355683327576+6.3557789695250655i,3.7062291473125686e-08+0.0i,"[50,0.2,0.6,0.85,True,500,5,15,0.33,1.4]",0.33,-8.706355683327576,6.3557789695250655,3.7062291473125686e-08,0.0
14,1.3560437747595602,-9.962775314254511e-05,6805.552328472989,1.1407211354478608,0.4426540579436254+1.0513334836499304i,1.967726225079281e-07+0.0i,"[50,0.2,0.6,0.85,True,500,15,15,0.33,1.4]",0.33,0.4426540579436254,1.0513334836499304,1.967726225079281e-07,0.0
15,1.379079819302197,-9.074642129936012e-05,7598.535565126033,11.00216843875518,8.987389618336342-6.346222356879778i,3.519865254620558e-08+0.0i,"[50,0.2,0.6,0.85,True,500,15,15,0.33,1.4]",0.33,8.987389618336342,-6.346222356879778,3.519865254620558e-08,0.0
17,1.3560414045568192,-0.0001027012053205,6601.8767760551045,1.146496314728089,0.44883037230966333+1.0549905670561508i,1.3281316784415431e-08+0.0i,"[50,0.2,0.6,0.85,True,500,15,15,0.33,1.4]",0.33,0.44883037230966333,1.0549905670561508,1.3281316784415431e-08,0.0
18,1.3790794234220247,-9.150547158441858e-05,7535.502519921729,11.014880983964323,-8.99388233196048+6.359063114150384i,5.742861508694107e-11+0.0i,"[50,0.2,0.6,0.85,True,500,15,15,0.33,1.4]",0.33,-8.99388233196048,6.359063114150384,5.742861508694107e-11,0.0
