,number of waveguide holes,freq,decay,Q-factor,wavelength
0,1,1.37256133684049,-0.0125290442628626,54.7751810929786,0.72856489
1,2,1.37208799650378,-0.0062714614689584,109.39140767229,0.72881623
2,3,1.37164292828811,-0.0032563227207702,210.612252824204,0.72905271
3,4,1.37138274356979,-0.0017227938940463,398.011261912706,0.72919103
4,5,1.37126167569206,-0.000918842482774,746.189744923508,0.72925541
5,6,1.3712212273391,-0.0004973748513736,1378.45854444806,0.72927692
6,8,1.37122400475145,-0.0001742577586764,3934.47045103258,0.72927545
7,10,1.37123822139708,-0.0001028024508479,6669.28760008454,0.72926789
8,12,1.37124175063671,-9.11524451414632E-05,7521.69482951675,0.72926601
9,15,1.37124119163771,-9.00759217779137E-05,7611.58567446339,0.72926631
