,eigVal,eigVec,Coupling coeff.,Ecm,XC,Ecm-XC
0,[1.371-0.00326162j 1.371-0.00011838j],"[[ 9.95556277e-01+0.j         -7.39686090e-15-0.09416846j]
 [ 0.00000000e+00+0.09416846j  9.95556277e-01+0.j        ]]",0.0003,(1.371-9e-05j),(1.371-9e-05j),0j
1,[1.371-0.00326066j 1.371-0.00011934j],"[[ 9.95405176e-01+0.j         -7.48533180e-16-0.09575247j]
 [ 0.00000000e+00+0.09575247j  9.95405176e-01+0.j        ]]",0.000305,(1.371-9e-05j),(1.371-9e-05j),0j
2,[1.371-0.00325968j 1.371-0.00012032j],"[[ 9.95251459e-01+0.j         -4.34813860e-15-0.09733721j]
 [ 0.00000000e+00+0.09733721j  9.95251459e-01+0.j        ]]",0.00031,(1.371-9e-05j),(1.371-9e-05j),0j
3,[1.371-0.00325869j 1.371-0.00012131j],"[[9.95095120e-01+0.j        2.77555756e-16-0.0989227j]
 [0.00000000e+00+0.0989227j 9.95095120e-01+0.j       ]]",0.00031499999999999996,(1.371-9e-05j),(1.371-9e-05j),0j
4,[1.371-0.00325767j 1.371-0.00012233j],"[[ 9.94936153e-01+0.j         -4.72538675e-15-0.10050896j]
 [ 0.00000000e+00+0.10050896j  9.94936153e-01+0.j        ]]",0.00031999999999999997,(1.371-9e-05j),(1.371-9e-05j),0j
5,[1.371-0.00325664j 1.371-0.00012336j],"[[9.94774551e-01+0.j       1.50504609e-14-0.102096j]
 [0.00000000e+00+0.102096j 9.94774551e-01+0.j      ]]",0.000325,(1.371-9e-05j),(1.371-9e-05j),0j
6,[1.371-0.0032556j 1.371-0.0001244j],"[[ 9.94610308e-01+0.j         -1.20514492e-14-0.10368382j]
 [ 0.00000000e+00+0.10368382j  9.94610308e-01+0.j        ]]",0.00033,(1.371-9e-05j),(1.371-9e-05j),0j
7,[1.371-0.00325454j 1.371-0.00012546j],"[[9.94443417e-01+0.j         7.90480962e-15-0.10527246j]
 [0.00000000e+00+0.10527246j 9.94443417e-01+0.j        ]]",0.00033499999999999996,(1.371-9e-05j),(1.371-9e-05j),0j
8,[1.371-0.00325346j 1.371-0.00012654j],"[[ 9.94273872e-01+0.j        -1.01480239e-14-0.1068619j]
 [ 0.00000000e+00+0.1068619j  9.94273872e-01+0.j       ]]",0.00033999999999999997,(1.371-9e-05j),(1.371-9e-05j),0j
9,[1.371-0.00325236j 1.371-0.00012764j],"[[9.94101666e-01+0.j         1.34614542e-15-0.10845219j]
 [0.00000000e+00+0.10845219j 9.94101666e-01+0.j        ]]",0.000345,(1.371-9e-05j),(1.371-9e-05j),0j
10,[1.371-0.00325125j 1.371-0.00012875j],"[[ 9.93926792e-01+0.j         -5.15657395e-15-0.11004332j]
 [ 0.00000000e+00+0.11004332j  9.93926792e-01+0.j        ]]",0.00035,(1.371-9e-05j),(1.371-9e-05j),0j
11,[1.371-0.00325012j 1.371-0.00012988j],"[[ 9.93749243e-01+0.j         -4.76712853e-15-0.11163531j]
 [ 0.00000000e+00+0.11163531j  9.93749243e-01+0.j        ]]",0.00035499999999999996,(1.371-9e-05j),(1.371-9e-05j),0j
12,[1.371-0.00324897j 1.371-0.00013103j],"[[9.93569012e-01+0.j         5.85957064e-15-0.11322817j]
 [0.00000000e+00+0.11322817j 9.93569012e-01+0.j        ]]",0.00035999999999999997,(1.371-9e-05j),(1.371-9e-05j),0j
13,[1.371-0.00324781j 1.371-0.00013219j],"[[9.93386091e-01+0.j         4.24660307e-15-0.11482192j]
 [0.00000000e+00+0.11482192j 9.93386091e-01+0.j        ]]",0.000365,(1.371-9e-05j),(1.371-9e-05j),0j
14,[1.371-0.00324663j 1.371-0.00013337j],"[[9.93200473e-01+0.j         6.76683102e-15-0.11641658j]
 [0.00000000e+00+0.11641658j 9.93200473e-01+0.j        ]]",0.00037,(1.371-9e-05j),(1.371-9e-05j),0j
15,[1.371-0.00324543j 1.371-0.00013457j],"[[ 9.93012151e-01+0.j         -3.73312492e-15-0.11801215j]
 [ 0.00000000e+00+0.11801215j  9.93012151e-01+0.j        ]]",0.000375,(1.371-9e-05j),(1.371-9e-05j),0j
16,[1.371-0.00324422j 1.371-0.00013578j],"[[ 9.92821116e-01+0.j         -5.53723734e-15-0.11960866j]
 [ 0.00000000e+00+0.11960866j  9.92821116e-01+0.j        ]]",0.00037999999999999997,(1.371-9e-05j),(1.371-9e-05j),0j
17,[1.371-0.00324299j 1.371-0.00013701j],"[[ 9.92627362e-01+0.j         -6.12010442e-15-0.12120611j]
 [ 0.00000000e+00+0.12120611j  9.92627362e-01+0.j        ]]",0.000385,(1.371-9e-05j),(1.371-9e-05j),0j
18,[1.371-0.00324174j 1.371-0.00013826j],"[[ 9.92430879e-01+0.j         -1.08949308e-14-0.12280452j]
 [ 0.00000000e+00+0.12280452j  9.92430879e-01+0.j        ]]",0.00039,(1.371-9e-05j),(1.371-9e-05j),0j
19,[1.371-0.00324048j 1.371-0.00013952j],"[[ 9.92231660e-01+0.j         -7.52956725e-15-0.12440391j]
 [ 0.00000000e+00+0.12440391j  9.92231660e-01+0.j        ]]",0.00039499999999999995,(1.371-9e-05j),(1.371-9e-05j),0j
20,[1.371-0.00323919j 1.371-0.00014081j],"[[9.92029696e-01+0.j         1.20823490e-15-0.12600429j]
 [0.00000000e+00+0.12600429j 9.92029696e-01+0.j        ]]",0.00039999999999999996,(1.371-9e-05j),(1.371-9e-05j),0j
21,[1.371-0.00323789j 1.371-0.00014211j],"[[9.9182498e-01+0.j         8.6528007e-15-0.12760568j]
 [0.0000000e+00+0.12760568j 9.9182498e-01+0.j        ]]",0.000405,(1.371-9e-05j),(1.371-9e-05j),0j
22,[1.371-0.00323658j 1.371-0.00014342j],"[[ 9.91617502e-01+0.j         -7.91467586e-15-0.12920809j]
 [ 0.00000000e+00+0.12920809j  9.91617502e-01+0.j        ]]",0.00041,(1.371-9e-05j),(1.371-9e-05j),0j
23,[1.371-0.00323524j 1.371-0.00014476j],"[[ 9.91407254e-01+0.j         -1.47885176e-15-0.13081153j]
 [ 0.00000000e+00+0.13081153j  9.91407254e-01+0.j        ]]",0.000415,(1.371-9e-05j),(1.371-9e-05j),0j
24,[1.371-0.00323389j 1.371-0.00014611j],"[[ 9.91194227e-01+0.j         -2.50910404e-14-0.13241603j]
 [ 0.00000000e+00+0.13241603j  9.91194227e-01+0.j        ]]",0.00042,(1.371-9e-05j),(1.371-9e-05j),0j
25,[1.371-0.00323252j 1.371-0.00014748j],"[[ 9.90978413e-01+0.j         -9.40480333e-15-0.13402159j]
 [ 0.00000000e+00+0.13402159j  9.90978413e-01+0.j        ]]",0.000425,(1.371-9e-05j),(1.371-9e-05j),0j
26,[1.371-0.00323114j 1.371-0.00014886j],"[[ 9.90759801e-01+0.j         -3.80112608e-14-0.13562823j]
 [ 0.00000000e+00+0.13562823j  9.90759801e-01+0.j        ]]",0.00043,(1.371-9e-05j),(1.371-9e-05j),0j
